LATITUDE,LONGITUDE,FIRE_YEAR,CAUSE,FIRE_SIZE,STATE,DAYS_TO_CONTAIN
33.797729,-79.160652,2010,Human,3.0,SC,0.0
39.795,-121.17166667,1992,Natural,0.1,CA,0.0
33.837982,-81.239777,2011,Natural,0.1,SC,0.0
41.66959,-75.614,2008,Human,3.0,PA,0.0
36.038739,-80.174354,2019,Human,0.06,NC,0.0
38.863938,-89.54330564,2014,Human,1.0,IL,0.0
24.668,-81.3559,2014,Human,0.2,FL,0.0
38.33416667,-119.98416667,2008,Natural,914.0,CA,1.0
34.02611111,-109.33916667,2007,Natural,0.1,AZ,0.0
40.713,-98.835,2018,Human,1.0,NE,0.0
36.0694,-93.2056,2014,Human,0.3,AR,0.0
33.970946,-87.943032,2013,Human,33.0,AL,0.0
34.2536,-88.1169,2001,Human,1.0,AL,
48.57055556,-118.41361111,1998,Human,0.1,WA,0.0
42.6486,-73.7352,2014,Human,0.1,NY,
37.56666667,-91.165,1993,Human,5.0,MO,0.0
32.47262892,-97.1530146,2009,Human,0.5,TX,
31.766854,-96.330571,2013,Human,1.0,TX,
47.5622,-109.5524,2001,Natural,2.0,MT,0.0
31.9778,-81.2688,1996,Human,2.4,GA,0.0
38.1825,-108.5656,1997,Natural,0.1,CO,2.0
33.1258,-89.6247,2000,Human,0.1,MS,
38.44238,-92.03121,1999,Human,3.0,MO,
30.53958,-94.17709,1997,Human,1.0,TX,
30.4748,-85.4334,2013,Human,1.0,FL,0.0
48.9122,-99.7982,2001,Human,5.0,ND,0.0
42.650919,-95.569703,2020,Human,1.5,IA,0.0
33.65000001,-78.99999999,2004,Human,3.0,SC,
42.44447,-123.46545,2019,Human,0.01,OR,3.0
47.32497628,-95.56951669,2020,Human,0.1,MN,0.0
38.71861111,-82.67833333,2002,Human,1.0,OH,0.0
32.24012,-110.886238,2020,Human,0.1,AZ,
39.8405,-123.258,2016,Human,0.17,CA,0.0
39.5668,-107.3674,2020,Human,0.1,CO,
45.080778,-70.21225,2009,Human,2.6,ME,0.0
43.14893,-71.9468639,1998,Human,0.25,NH,
39.27111111,-123.23305555,1997,Human,0.1,CA,
37.45702998,-83.63670999,2005,Undetermined,1.0,KY,
30.181898,-98.893861,2013,Human,15.0,TX,
35.766598,-80.779275,2017,Human,0.02,NC,0.0
39.34287,-121.120056,2011,Human,0.25,CA,
32.934641,-100.375557,2010,Human,10.0,TX,
31.438171,-110.173644,2020,Human,0.1,AZ,
33.4573,-112.1244,2011,Undetermined,0.1,AZ,0.0
39.6347,-110.4083,2019,Human,0.1,UT,0.0
37.06166667,-119.36,1994,Human,0.1,CA,0.0
31.63162627,-97.72104274,2009,Human,0.12,TX,
33.810897,-85.19104517,2010,Human,0.3,GA,0.0
34.26058,-77.79379,2008,Undetermined,1.0,NC,
48.8375,-99.7396,2000,Human,0.1,ND,0.0
33.63333333,-111.11666667,1992,Natural,1.0,AZ,0.0
33.36777999,-81.32305999,2004,Human,1.0,SC,
43.56666667,-122.43333333,2001,Natural,0.1,OR,0.0
30.6308,-84.7357,2016,Human,1.0,FL,0.0
33.4589,-87.0489,1999,Human,6.0,AL,
27.64,-81.54,2000,Human,0.2,FL,
35.4853,-94.8586,1999,Human,25.0,OK,0.0
44.83333333,-113.11666667,2002,Human,0.5,MT,19.0
41.0332,-123.6678,2003,Human,0.1,CA,0.0
40.74110998,-75.8325,2005,Human,0.1,PA,0.0
44.775,-116.19305556,2009,Natural,0.1,ID,0.0
35.9801,-106.879303,2009,Natural,0.1,NM,0.0
31.7351,-88.08298,1996,Human,1.5,AL,
32.1051624,-83.24570329,2011,Human,10.12,GA,0.0
34.8783,-77.235,1994,Human,1.0,NC,
38.316847,-93.025236,2018,Human,0.347,MO,0.0
29.9932,-84.9192,2018,Human,384.0,FL,7.0
33.04628901,-89.75843504,1995,Human,12.0,MS,0.0
47.58861111,-115.32083333,2003,Human,0.2,MT,0.0
35.805,-113.0705,1994,Natural,15.0,AZ,0.0
45.26888889,-114.64388889,2001,Natural,108.0,ID,8.0
39.08222222,-105.49916667,2006,Human,0.2,CO,0.0
31.6867,-82.3975,1999,Natural,1.7,GA,
32.556,-86.973,2017,Human,4.0,AL,0.0
31.66159709,-88.63571448,1995,Human,20.0,MS,0.0
32.4068,-82.9649,2001,Human,0.88,GA,0.0
30.06,-81.84,1995,Human,25.0,FL,
37.01395089,-98.64169771,2017,Human,0.1,KS,0.0
38.05126,-82.63422,2008,Human,1.0,KY,0.0
30.43,-83.65,2000,Human,40.0,FL,
31.373758,-88.93230531,2014,Human,1.0,MS,0.0
35.5383,-113.4241,1997,Human,0.1,AZ,0.0
35.92131,-80.63261,2008,Undetermined,2.0,NC,
29.4514,-81.5951,2017,Human,1.0,FL,0.0
43.0264,-102.5477,2000,Human,0.1,SD,0.0
33.1833,-89.9656,2001,Human,3.0,MS,
31.95375278,-82.28144722,2016,Human,2.03,GA,0.0
42.29125,-84.42239,2018,Natural,1.0,MI,
34.24333333,-117.30333333,2002,Human,3.0,CA,0.0
21.3068333,-158.0276794,2009,Undetermined,0.01,HI,
34.27166667,-118.26666667,2000,Human,0.1,CA,0.0
34.856775,-88.448195,2010,Undetermined,18.0,MS,
40.199266,-122.28433,2011,Human,2.0,CA,
31.517398,-96.106853,2013,Human,1.0,TX,
47.74116703,-117.34812908,2006,Human,0.1,WA,
31.7714,-85.2911,1998,Human,0.1,AL,
31.7258,-96.1432,2020,Human,1.0,TX,
48.07738,-115.16404,1998,Human,2.0,MT,0.0
40.60166667,-123.12166667,1994,Natural,0.2,CA,0.0
37.22471,-82.99191,2009,Human,1.0,KY,0.0
30.20583333,-82.56055556,2007,Natural,30.0,FL,0.0
39.2519,-74.8561,2015,Human,0.25,NJ,13.0
30.521,-87.458,2020,Human,5.0,AL,0.0
32.828457,-116.7525,2016,Undetermined,0.02,CA,
41.02764,-79.51939,2007,Human,0.1,PA,0.0
47.396566,-122.897736,1992,Human,0.1,WA,
34.792432,-78.563353,2019,Human,0.31,NC,0.0
32.5242,-86.6683,2000,Human,1.0,AL,
33.40972222,-94.41611111,2012,Human,1.0,TX,0.0
44.45013,-105.86612,2013,Natural,1.0,WY,0.0
31.83675915,-82.63038395,2007,Human,0.01,GA,
42.82191,-115.76068,2010,Human,18.5,ID,0.0
39.314588,-121.646501,2012,Undetermined,1.0,CA,
41.24055,-73.69725,2018,Human,0.05,NY,0.0
48.6002894,-96.57414668,2016,Human,15.0,MN,0.0
35.27111667,-79.71775,2011,Human,2.0,NC,0.0
39.878262,-94.265899,2018,Human,1.879,MO,0.0
45.73561,-89.76418,2010,Human,1.5,WI,0.0
43.1265,-76.1372,2013,Human,0.1,NY,0.0
46.82298056,-95.6763702,2012,Human,2.4,MN,0.0
36.7667,-77.83,1997,Human,0.1,VA,
26.82,-81.93,1999,Human,2.0,FL,
35.60333,-120.355909,2018,Human,1.3,CA,0.0
30.9328,-83.4972,1999,Human,3.6,GA,
31.9996,-98.204,2008,Human,1.0,TX,
39.3833,-108.034,1998,Natural,0.1,CO,0.0
34.53015,-101.8127833,2017,Human,2444.0,TX,1.0
43.9118,-99.70583,2020,Human,1.0,SD,
40.3646,-74.2881,2005,Human,0.25,NJ,
31.15408222,-90.32081769,1992,Human,12.0,MS,0.0
33.39166667,-80.575,1996,Undetermined,3.0,SC,0.0
37.33444444,-91.28444444,1999,Human,0.3,MO,0.0
36.29,-120.27388888,1994,Human,0.1,CA,
35.26,-111.48,1994,Human,0.1,AZ,0.0
37.99259,-121.287045,2018,Undetermined,0.01,CA,
34.21166667,-111.33138889,2006,Human,0.3,AZ,0.0
36.1333,-79.1167,2000,Human,0.1,NC,
38.2375,-109.2632,1996,Natural,0.1,UT,0.0
38.1985667,-93.002533,2011,Human,1.0,MO,30.0
39.2,-96.08,2015,Human,10.0,KS,0.0
32.9625,-80.64583333,1995,Undetermined,1.0,SC,0.0
32.7668,-83.1301,2001,Human,2.08,GA,0.0
35.4717,-87.4133,1997,Human,1.0,TN,
47.35014872,-93.49730418,2013,Human,0.2,MN,0.0
32.6008,-89.5344,2000,Human,0.1,MS,
46.1351,-123.1234,2013,Human,0.1,WA,0.0
34.5872,-85.8214,1998,Human,50.0,AL,
30.6939,-82.0311,1999,Human,1.0,FL,
37.12638854,-83.78273773,2016,Human,5.0,KY,0.0
43.03501474,-78.63136754,2005,Natural,0.1,NY,0.0
40.138475,-105.107247,2011,Undetermined,1.0,CO,
35.87554001,-93.09253,2004,Human,6.0,AR,0.0
34.08266667,-94.84733334,2011,Human,6.0,OK,0.0
38.00027778,-106.53361111,2013,Natural,0.1,CO,1.0
38.98848,-123.051643,2016,Undetermined,0.31,CA,0.0
44.32333333,-83.73333333,1993,Human,6.0,MI,0.0
40.365,-75.41305556,2002,Human,0.11,PA,0.0
31.7352906,-89.49244705,1994,Human,8.0,MS,0.0
37.28397027,-107.0675366,2020,Human,0.1,CO,0.0
35.92083333,-83.11888889,2012,Natural,0.2,TN,1.0
35.1019,-98.5539,2011,Human,15.0,OK,0.0
43.52683,-115.86496,2013,Natural,0.3,ID,0.0
35.73213336,-94.55738335,2005,Human,0.5,OK,0.0
34.4911,-100.714,2019,Natural,150.0,TX,
30.0826843,-97.616239,2013,Human,0.1,TX,
34.9089,-82.7042,1998,Human,0.2,SC,
38.94555504,-79.17989963,2010,Human,2.0,WV,0.0
34.00000001,-81.95000001,2006,Human,50.0,SC,
42.909992,-91.103385,2000,Human,0.25,WI,
39.9666,-108.434,1992,Natural,0.1,CO,0.0
35.60374997,-94.58808001,2004,Human,0.1,OK,0.0
33.976364,-80.898224,2012,Human,0.1,SC,0.0
46.85305556,-119.43555556,2009,Undetermined,2.0,WA,0.0
